question,option_a,option_b,option_c,option_d,correct,Reference
How do state proofs increase efficiency in rollup interoperability?,By increasing reliance on off-chain services,By creating new token bridges,Adding extra verification layers to messaging,Direct verification without external messages,D,"[Don’t send messages, just share state](https://polymerlabs.org/blog/dont-send-messages-just-share-state)"
What is the key takeaway from Polymer’s approach to interoperability?,Proof validation increases intermediary reliance,L1 messaging is the most scalable approach,Messaging is the only viable solution,L2 ↔ L2 interop should rely on proof-of-state,D,[Zeeve: Mapping Rollup Interoperability](https://www.zeeve.io/blog/mapping-rollup-interoperability-for-cross-chain-connectivity/)
"What is one solution to resolving blockers like fragmentation, speed, and cost?",Cross-chain messaging,Rollup interoperability,More L1 forks,Higher gas fees,B,[CoinTelegraph: Future hinges on interoperable L2s](https://cointelegraph.com/news/ethereum-future-hinges-interoperable-layer-2s)
What initiative by Optimism supports cross-chain unification?,RollupNet,OP Superchain,MetaChain,CrossL2 Hub,B,[Zeeve: Mapping Rollup Interoperability](https://www.zeeve.io/blog/mapping-rollup-interoperability-for-cross-chain-connectivity/)
Which new ERC standard supports native cross-chain interoperability?,ERC-4337,ERC-7802,ERC-998,ERC-404,B,[Zeeve: Mapping Rollup Interoperability](https://www.zeeve.io/blog/mapping-rollup-interoperability-for-cross-chain-connectivity/)
What advantage does ERC-7802 provide?,NFT metadata sharing,Cross-chain token standards,Faster block times,Lower staking rewards,B,[Connecting Infinity](https://www.polymerlabs.org/blog/connecting-infinity-real-time-interoperability-is-just-the-beginning)
What is the primary reason Layer 1 (L1) blockchains require message passing for interoperability?,There is no shared settlement,They all use the same sequencer,It allows for free bridges,They are all running the same VM,A,[Why messaging is not the future](https://www.polymerlabs.org/blog/dont-send-messages-just-prove-state)
Why is cross-chain messaging a difficult method for interoperability?,It relies on external relays,Messaging uses state proofs,Shared security,No contracts,A,[Why messaging is not the future](https://www.polymerlabs.org/blog/dont-send-messages-just-prove-state)
What is one major inefficiency of using message passing for interoperability?,Redundant relays,Native proofs,Cheap gas,Fewer nodes,A,[Why messaging is not the future](https://www.polymerlabs.org/blog/dont-send-messages-just-prove-state)
What is the key problem with today’s interoperability infrastructure?,It's based on messaging,There are no gas fees,It relies on native proofs,It relies on shared sequencers,A,[Zeeve: Mapping Rollup Interoperability](https://www.zeeve.io/blog/mapping-rollup-interoperability-for-cross-chain-connectivity/)
Why is bridging rollups directly a difficult problem to solve,They use different proof systems,There is only one sequencer,They all use the same shared VM,It provides low fees,A,[Connecting Infinity](https://www.polymerlabs.org/blog/connecting-infinity-real-time-interoperability-is-just-the-beginning)
